word;translation
hahaha;des
still;aún;description
still;aún;description
still;aún;description
still;aún;description
still;aún;description
still;aún;description
I;I;description
I;I;description
I;I;description
I;I;description
Yes;Sí;description
Yes;Sí;description
Oh;Oh;description
God;Dios;description
God;Dios;description
God;Dios;description
Am;Soy;description
Be;Ser;description
Bee;Abeja;description
Yes;Sí;description
N;norte;description
Ns;Ns;description
Nsa;NSA;description
Word;Palabra;description
y;Y;description
Several;Varios;description
Several;Varios;description
Several;Varios;description
Friend;Amigo;description
Yes;Sí;TrueFriend;Amigo;True
Friend;Amigo;True
Friend;Amigo;True
Friend;Amigo;True
Friend;Amigo; a member of the Religious Society of Friends founded by George Fox (the Friends have never called themselves Quakers).
Friend;Amigo; a member of the Religious Society of Friends founded by George Fox (the Friends have never called themselves Quakers).
Friend;Amigo; a person you know well and regard with affection and trust. an associate who provides cooperation or assistance. a person with whom you are acquainted. a person who backs a politician or a team etc.. a member of the Religious Society of Friends founded by George Fox (the Friends have never called themselves Quakers).
acquainted;familiarizado; cause to come to know personally. make familiar or conversant with. inform. having fair knowledge of.
